dt,city,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1736078400,Nairobi,1,297.07,0.28,1.35,54.36,1.89,4.18,10.58,2.85
1736082000,Nairobi,1,307.08,0.33,1.69,53.64,2.26,4.41,11.19,3.1
1736085600,Nairobi,1,320.43,0.37,2.25,52.21,2.44,4.8,12.64,3.48
1736089200,Nairobi,1,327.11,0.28,2.91,47.92,2.44,5.24,14.14,3.7
1736092800,Nairobi,1,337.12,0.03,3.38,43.99,2.44,6.25,17.53,4.18
1736096400,Nairobi,2,357.15,0.0,3.6,42.2,2.68,7.86,22.01,4.94
1736100000,Nairobi,2,373.84,0.0,3.73,41.48,2.95,8.98,24.95,5.38
1736103600,Nairobi,2,413.89,0.0,3.81,40.41,2.71,10.62,28.66,6.27
1736107200,Nairobi,2,440.6,0.0,3.9,39.7,2.26,11.65,31.52,6.52
1736110800,Nairobi,2,427.25,0.0,3.43,40.05,1.83,10.69,30.93,5.64
1736114400,Nairobi,2,487.33,0.0,3.26,39.34,1.64,12.02,35.14,6.78
1736118000,Nairobi,2,540.73,0.0,2.91,38.98,1.43,13.55,40.45,7.54
1736121600,Nairobi,2,560.76,0.0,2.72,38.98,1.27,14.55,43.59,7.6
1736125200,Nairobi,2,580.79,0.0,2.87,37.55,1.18,15.75,46.29,7.35
1736128800,Nairobi,2,607.49,0.0,3.26,35.41,1.09,17.22,49.1,7.22
1736132400,Nairobi,3,654.22,0.0,4.33,33.26,1.21,19.53,53.06,7.73
1736136000,Nairobi,3,827.79,0.02,8.57,29.33,2.12,29.09,66.39,11.78
1736139600,Nairobi,3,1001.36,1.27,11.65,32.9,3.07,37.43,79.15,17.99
1736143200,Nairobi,3,947.95,1.34,8.57,66.52,4.05,36.94,78.05,17.99
1736146800,Nairobi,2,500.68,0.51,3.17,72.96,4.59,17.58,44.09,8.36
1736150400,Nairobi,2,423.91,0.42,2.46,70.81,4.05,14.86,38.07,6.71
1736154000,Nairobi,2,397.21,0.36,2.14,67.95,3.64,13.96,36.0,5.76
1736157600,Nairobi,2,360.49,0.31,2.18,65.8,3.16,11.8,30.06,4.81
1736161200,Nairobi,2,347.14,0.31,2.36,65.09,3.01,10.66,27.36,4.62
1736164800,Nairobi,2,327.11,0.29,2.44,62.23,2.83,9.93,25.62,4.31
1736168400,Nairobi,2,337.12,0.32,2.96,60.8,3.25,9.77,25.34,4.75
1736172000,Nairobi,2,363.83,0.38,3.77,60.08,3.61,10.48,27.1,5.45
1736175600,Nairobi,2,387.19,0.31,4.58,56.51,3.61,11.49,28.97,6.02
1736179200,Nairobi,2,440.6,0.04,5.31,50.78,3.52,14.38,35.2,7.47
1736182800,Nairobi,2,500.68,0.0,5.65,47.21,3.58,19.52,46.59,9.12
1736186400,Nairobi,3,534.06,0.0,5.65,46.49,3.61,23.55,55.74,10.01
1736190000,Nairobi,3,554.08,0.0,5.57,47.21,3.31,25.79,60.07,10.51
1736193600,Nairobi,3,547.41,0.0,5.4,47.92,2.86,24.67,58.32,10.01
1736197200,Nairobi,3,487.33,0.0,4.28,50.07,2.32,20.77,52.05,8.23
1736200800,Nairobi,2,467.3,0.0,3.3,50.78,1.79,19.3,49.48,7.92
1736204400,Nairobi,3,480.65,0.0,2.78,50.07,1.33,19.91,51.05,8.49
1736208000,Nairobi,3,500.68,0.0,2.59,48.64,1.12,21.28,54.42,8.99
1736211600,Nairobi,3,507.35,0.0,2.55,48.64,1.07,22.11,56.94,8.99
1736215200,Nairobi,3,507.35,0.0,2.61,48.64,1.21,22.42,58.88,8.74
1736218800,Nairobi,3,527.38,0.0,3.17,48.64,1.55,23.35,61.48,8.61
1736222400,Nairobi,3,620.84,0.02,5.48,47.21,2.38,27.94,69.07,10.77
1736226000,Nairobi,3,707.63,0.56,7.03,52.21,3.16,31.18,76.04,13.81
1736229600,Nairobi,3,707.63,0.74,5.57,76.53,4.59,31.4,77.81,14.19
1736233200,Nairobi,3,514.03,0.53,3.43,85.83,6.44,24.56,60.89,8.87
1736236800,Nairobi,3,487.33,0.43,2.68,88.69,6.2,23.05,56.17,8.11
1736240400,Nairobi,3,467.3,0.38,2.33,89.41,6.2,21.85,53.23,7.6
1736244000,Nairobi,2,393.87,0.35,1.91,84.4,4.47,16.27,38.81,5.64
1736247600,Nairobi,2,370.5,0.37,1.95,85.12,4.05,13.07,30.77,5.13
1736251200,Nairobi,2,360.49,0.38,2.03,83.68,3.76,12.55,29.53,4.94
1736254800,Nairobi,2,363.83,0.43,2.46,82.25,3.99,13.47,31.5,5.13
1736258400,Nairobi,2,377.18,0.5,3.3,77.96,4.17,14.43,33.86,5.45
1736262000,Nairobi,2,377.18,0.41,4.37,67.95,4.05,14.26,33.42,5.64
1736265600,Nairobi,2,420.57,0.05,5.57,57.22,4.17,16.32,38.06,7.03
1736269200,Nairobi,2,467.3,0.0,5.65,51.5,4.23,20.08,45.86,8.23
1736272800,Nairobi,3,487.33,0.0,5.4,47.92,4.17,22.47,50.92,8.74
1736276400,Nairobi,3,527.38,0.0,5.4,45.78,3.58,24.96,55.62,9.75
1736280000,Nairobi,3,560.76,0.0,5.65,43.63,2.92,26.11,58.67,10.26
1736283600,Nairobi,3,534.06,0.0,4.84,43.27,2.35,23.75,56.0,8.49
1736287200,Nairobi,3,534.06,0.0,3.94,42.92,2.03,22.65,55.0,7.79
1736290800,Nairobi,3,540.73,0.0,3.34,42.56,1.73,22.21,54.6,7.85
1736294400,Nairobi,3,547.41,0.0,3.0,41.84,1.52,21.56,53.51,7.92
1736298000,Nairobi,3,547.41,0.0,3.04,40.77,1.39,20.99,52.4,7.66
1736301600,Nairobi,3,560.76,0.0,3.47,38.98,1.33,21.15,53.48,7.54
1736305200,Nairobi,3,607.49,0.0,4.71,36.48,1.43,22.78,56.9,7.66
1736308800,Nairobi,3,821.11,0.04,9.94,31.11,2.44,33.38,72.84,11.91
1736312400,Nairobi,3,1134.87,1.87,15.08,36.12,4.11,46.82,95.01,21.28
1736316000,Nairobi,4,1375.2,1.68,13.02,101.57,7.21,58.77,117.34,29.39
1736319600,Nairobi,3,707.63,0.44,7.8,95.84,12.52,25.23,58.28,14.57
1736323200,Nairobi,2,620.84,0.47,5.91,97.27,10.97,21.46,49.72,12.29
1736326800,Nairobi,3,647.54,0.39,4.67,111.58,11.32,22.4,50.88,12.92
1736330400,Nairobi,3,680.92,0.34,4.03,127.32,12.16,24.03,52.08,13.68
1736334000,Nairobi,3,660.9,0.32,3.6,130.18,12.28,23.86,50.58,13.17
1736337600,Nairobi,3,587.46,0.32,3.17,113.01,10.37,20.42,44.29,11.02
1736341200,Nairobi,2,520.71,0.36,3.3,94.41,8.11,17.22,38.34,9.12
1736344800,Nairobi,2,473.98,0.43,4.11,77.96,6.56,15.03,34.86,7.98
1736348400,Nairobi,2,453.95,0.32,5.1,62.23,5.42,13.98,33.17,7.22
1736352000,Nairobi,2,554.08,0.03,6.68,50.07,4.59,16.69,39.83,10.26
1736355600,Nairobi,2,667.57,0.0,7.71,43.99,3.99,21.1,49.25,13.68
1736359200,Nairobi,3,714.3,0.0,8.05,40.77,3.61,24.29,54.91,15.07
1736362800,Nairobi,3,761.03,0.0,8.31,38.27,3.1,28.03,60.65,15.71
1736366400,Nairobi,3,747.68,0.0,8.05,36.84,2.47,27.9,60.62,14.95
1736370000,Nairobi,3,654.22,0.0,6.43,38.27,1.8,22.59,53.1,12.41
1736373600,Nairobi,2,594.14,0.0,4.67,40.41,1.61,18.49,45.87,10.89
1736377200,Nairobi,2,567.44,0.0,3.64,41.13,1.51,16.67,43.08,10.26
1736380800,Nairobi,2,567.44,0.0,3.21,40.41,1.34,16.27,42.99,9.5
1736384400,Nairobi,2,567.44,0.0,3.04,39.34,1.3,15.67,42.38,8.74
1736388000,Nairobi,2,574.11,0.0,3.08,38.62,1.37,14.69,42.13,8.49
1736391600,Nairobi,2,587.46,0.0,3.64,37.55,1.55,14.44,42.25,8.23
1736395200,Nairobi,2,687.6,0.0,6.43,34.69,2.21,18.67,48.49,10.39
1736398800,Nairobi,3,814.44,0.49,9.68,33.97,3.1,22.23,55.74,14.95
1736402400,Nairobi,3,881.2,0.98,8.65,60.08,4.95,23.23,59.14,19.0
1736406000,Nairobi,2,660.9,0.25,8.74,60.08,9.54,17.18,44.06,13.3
1736409600,Nairobi,2,620.84,0.29,9.25,50.07,10.85,15.41,40.41,12.41
1736413200,Nairobi,2,627.52,0.26,9.94,47.21,12.04,14.08,37.89,12.67
1736416800,Nairobi,2,540.73,0.27,8.05,49.35,9.54,11.29,30.15,10.13
1736420400,Nairobi,2,500.68,0.39,5.83,59.37,7.99,10.23,26.4,9.12
1736424000,Nairobi,2,480.65,0.37,4.28,66.52,7.03,9.79,24.53,8.49
1736427600,Nairobi,2,640.87,0.4,5.48,70.1,7.03,13.19,31.11,13.05
1736431200,Nairobi,2,834.47,0.35,8.4,65.8,7.99,17.63,39.37,17.48
1736434800,Nairobi,2,907.9,0.16,11.48,49.35,9.18,19.54,41.16,18.49
1736438400,Nairobi,2,1028.06,0.01,12.68,35.05,7.45,23.96,47.18,20.01
1736442000,Nairobi,3,1201.63,0.0,14.22,27.89,5.3,32.08,60.11,19.25
1736445600,Nairobi,3,1308.44,0.01,14.91,24.32,4.47,37.68,69.24,15.33
1736449200,Nairobi,3,1255.04,0.01,14.05,23.25,3.73,37.77,70.14,12.67
1736452800,Nairobi,3,1028.06,0.01,11.14,25.39,2.98,28.35,57.82,10.51
1736456400,Nairobi,2,774.38,0.0,7.28,30.04,2.38,16.2,40.43,8.11
1736460000,Nairobi,2,620.84,0.0,4.93,33.97,2.09,10.43,29.67,6.71
1736463600,Nairobi,2,594.14,0.0,4.07,33.97,1.68,9.67,27.44,6.14
1736467200,Nairobi,2,620.84,0.0,3.73,32.54,1.31,10.45,29.56,6.02
1736470800,Nairobi,2,634.19,0.0,3.6,31.11,1.03,10.67,31.37,6.14
1736474400,Nairobi,2,647.54,0.0,3.56,30.4,0.93,10.12,31.49,6.65
1736478000,Nairobi,2,680.92,0.0,3.98,29.68,1.04,10.1,31.91,7.6
1736481600,Nairobi,2,761.03,0.01,6.6,27.89,1.7,13.19,35.45,9.5
1736485200,Nairobi,2,834.47,0.15,10.2,25.39,2.38,14.89,38.54,12.54
1736488800,Nairobi,2,827.79,0.42,10.02,29.68,3.43,13.73,37.83,15.2
1736492400,Nairobi,2,560.76,0.42,6.43,39.7,5.84,7.65,21.29,9.5
1736496000,Nairobi,1,514.03,0.45,4.67,49.35,5.96,6.59,18.06,8.49
1736499600,Nairobi,1,487.33,0.42,3.51,57.94,5.66,6.22,17.19,8.11
1736503200,Nairobi,1,427.25,0.38,2.91,57.94,4.59,5.48,14.25,6.4
1736506800,Nairobi,1,433.92,0.38,3.51,52.93,4.47,6.01,15.1,6.59
1736510400,Nairobi,1,427.25,0.31,4.11,45.78,3.87,5.79,14.34,6.52
1736514000,Nairobi,1,423.91,0.29,4.88,40.05,3.87,5.3,13.13,6.52
1736517600,Nairobi,1,413.89,0.3,5.31,37.55,3.87,5.0,12.74,6.08
1736521200,Nairobi,1,403.88,0.2,5.57,34.33,3.7,4.97,12.6,5.64
1736524800,Nairobi,1,447.27,0.02,5.83,31.47,3.25,6.19,15.75,7.22
1736528400,Nairobi,2,527.38,0.0,6.34,30.4,3.25,8.73,21.29,9.12
1736532000,Nairobi,2,574.11,0.0,6.51,30.4,3.49,10.23,24.42,9.37
1736535600,Nairobi,2,620.84,0.0,6.68,29.68,3.25,11.79,27.15,8.99
1736539200,Nairobi,2,620.84,0.0,6.6,28.97,2.53,11.2,26.56,8.23
1736542800,Nairobi,2,560.76,0.0,5.27,29.33,1.83,7.58,21.05,6.65
1736546400,Nairobi,1,467.3,0.0,3.47,30.4,1.55,5.35,16.71,4.94
1736550000,Nairobi,1,433.92,0.0,2.59,30.76,1.36,4.74,15.15,4.43
1736553600,Nairobi,1,433.92,0.0,2.4,30.4,1.3,4.49,14.75,4.31
1736557200,Nairobi,1,427.25,0.0,2.31,30.76,1.58,4.25,15.08,4.43
1736560800,Nairobi,1,440.6,0.0,2.36,30.76,1.62,4.47,16.93,4.81
1736564400,Nairobi,1,460.62,0.0,2.74,30.76,1.7,5.25,19.23,5.26
1736568000,Nairobi,2,540.73,0.0,4.54,29.33,2.06,7.75,22.33,6.65
1736571600,Nairobi,2,587.46,0.13,6.34,28.97,2.71,8.73,23.82,8.99
1736575200,Nairobi,2,580.79,0.42,5.65,37.55,3.67,8.49,23.96,10.26
1736578800,Nairobi,1,427.25,0.34,3.86,44.7,4.41,5.49,15.46,6.52
1736582400,Nairobi,1,400.54,0.36,2.83,51.5,4.41,5.06,14.06,6.02
1736586000,Nairobi,1,387.19,0.34,2.12,57.94,4.35,4.75,13.21,5.57
1736589600,Nairobi,1,333.79,0.29,1.63,54.36,3.1,4.23,12.05,4.02
1736593200,Nairobi,1,320.43,0.29,1.78,49.35,2.65,4.16,11.96,3.64
1736596800,Nairobi,1,310.42,0.25,1.97,44.7,2.35,3.87,11.25,3.45
1736600400,Nairobi,1,317.1,0.24,2.48,41.84,2.62,4.04,11.64,3.64
1736604000,Nairobi,1,333.79,0.22,3.26,39.7,2.92,4.16,11.91,4.02
1736607600,Nairobi,1,337.12,0.13,3.94,36.12,2.92,4.12,11.57,4.31
1736611200,Nairobi,1,373.84,0.02,4.71,32.9,3.13,4.85,13.08,5.64
1736614800,Nairobi,1,420.57,0.0,4.88,31.47,3.19,6.26,15.98,7.16
1736618400,Nairobi,1,447.27,0.0,4.88,30.4,3.1,7.42,18.18,8.11
1736622000,Nairobi,2,480.65,0.0,5.06,28.61,2.8,9.35,22.2,8.87
1736625600,Nairobi,2,494.0,0.0,5.18,27.18,2.47,9.85,24.19,8.99
1736629200,Nairobi,2,460.62,0.0,4.41,27.54,2.06,7.57,21.11,7.47
1736632800,Nairobi,1,427.25,0.0,3.34,29.33,1.85,5.76,17.55,6.27
1736636400,Nairobi,1,410.56,0.0,2.63,30.76,1.55,5.07,16.31,5.95
1736640000,Nairobi,1,407.22,0.0,2.25,31.47,1.28,5.02,16.7,5.89
1736643600,Nairobi,1,407.22,0.0,2.1,31.47,1.13,5.13,17.46,5.7
1736647200,Nairobi,1,427.25,0.0,2.21,31.11,1.15,5.4,18.51,5.51
1736650800,Nairobi,2,467.3,0.0,2.74,30.04,1.28,6.26,20.45,5.64
1736654400,Nairobi,2,567.44,0.0,4.76,27.89,1.82,10.51,28.74,7.47
1736658000,Nairobi,2,634.19,0.28,6.6,28.61,2.47,13.44,35.99,10.39
1736661600,Nairobi,2,614.17,0.61,4.97,48.64,3.7,13.17,36.41,11.53
1736665200,Nairobi,2,420.57,0.28,3.9,49.35,5.25,7.26,21.26,6.78
1736668800,Nairobi,1,400.54,0.22,3.9,41.48,4.95,5.62,16.94,6.33
1736672400,Nairobi,1,387.19,0.17,3.68,39.34,4.65,4.49,13.91,5.89
1736676000,Nairobi,1,350.48,0.17,3.04,38.62,3.64,3.46,10.48,4.69
1736679600,Nairobi,1,340.46,0.22,2.57,41.13,3.22,3.24,9.45,4.24
1736683200,Nairobi,1,333.79,0.26,2.21,44.7,2.95,3.24,9.33,4.05
1736686800,Nairobi,1,333.79,0.28,2.36,47.21,2.92,3.16,9.0,4.02
1736690400,Nairobi,1,340.46,0.27,2.96,46.49,2.98,3.32,9.63,4.18
1736694000,Nairobi,1,340.46,0.17,3.56,43.27,2.92,3.84,10.86,4.31
1736697600,Nairobi,1,383.85,0.02,4.54,39.7,3.49,6.01,16.09,5.76
1736701200,Nairobi,1,427.25,0.0,4.71,37.19,3.58,7.83,19.75,7.09
1736704800,Nairobi,2,453.95,0.0,4.58,36.12,3.34,8.49,20.73,7.73
1736708400,Nairobi,2,480.65,0.0,4.54,35.41,2.86,9.58,22.83,8.36
1736712000,Nairobi,2,487.33,0.0,4.54,35.05,2.62,9.73,23.78,8.49
1736715600,Nairobi,2,460.62,0.0,3.9,36.12,2.38,8.37,22.59,7.35
1736719200,Nairobi,2,460.62,0.0,3.64,37.19,2.65,8.47,23.65,7.47
1736722800,Nairobi,2,467.3,0.0,3.26,37.91,2.8,8.62,25.27,7.79
1736726400,Nairobi,2,473.98,0.0,2.87,38.62,2.59,8.87,27.37,8.11
1736730000,Nairobi,2,507.35,0.0,2.63,37.55,1.97,9.15,28.42,8.61
1736733600,Nairobi,2,554.08,0.0,2.74,35.41,1.52,10.13,31.53,8.87
1736737200,Nairobi,2,614.17,0.0,3.51,33.62,1.59,12.04,36.47,8.87
1736740800,Nairobi,3,761.03,0.0,6.43,30.04,2.29,19.54,51.01,11.65
1736744400,Nairobi,3,907.9,0.54,9.0,31.47,3.07,25.83,64.1,16.47
1736748000,Nairobi,3,934.6,0.85,7.11,62.94,4.41,28.44,67.25,19.0
1736751600,Nairobi,2,554.08,0.49,3.3,72.96,5.84,15.3,37.56,9.75
1736755200,Nairobi,2,460.62,0.41,2.44,69.38,4.65,13.03,31.56,7.41
1736758800,Nairobi,2,410.56,0.36,2.06,66.52,3.93,11.69,28.8,6.08
1736762400,Nairobi,2,373.84,0.32,1.93,61.51,3.19,10.05,24.73,4.88
1736766000,Nairobi,2,370.5,0.29,2.33,57.94,3.04,9.58,23.93,4.69
1736769600,Nairobi,2,363.83,0.18,2.83,52.21,2.86,8.86,22.71,4.62
1736773200,Nairobi,2,363.83,0.21,3.17,50.07,3.01,8.14,21.12,4.69
1736776800,Nairobi,2,370.5,0.36,3.21,52.21,3.13,8.52,22.34,4.94
1736780400,Nairobi,2,373.84,0.35,3.6,50.07,3.13,9.31,24.24,5.07
1736784000,Nairobi,2,377.18,0.06,4.24,43.63,3.13,11.74,30.46,5.45
1736787600,Nairobi,2,397.21,0.0,4.54,41.48,3.37,15.38,39.07,6.27
1736791200,Nairobi,2,413.89,0.0,4.58,41.48,3.58,17.74,44.33,6.78
1736794800,Nairobi,3,487.33,0.0,4.97,40.41,3.28,21.23,52.51,8.87
1736798400,Nairobi,3,520.71,0.0,5.1,38.98,2.8,23.26,58.06,9.75
1736802000,Nairobi,3,500.68,0.0,4.41,38.98,2.26,22.13,57.34,8.74
1736805600,Nairobi,3,500.68,0.0,3.81,39.34,2.06,21.77,57.06,8.74
1736809200,Nairobi,3,534.06,0.0,3.43,38.62,1.76,22.35,58.67,9.5
1736812800,Nairobi,3,567.44,0.0,3.43,36.84,1.42,23.07,59.68,10.39
1736816400,Nairobi,3,580.79,0.0,3.26,37.19,1.28,22.31,57.58,11.02
1736820000,Nairobi,3,547.41,0.0,2.87,40.77,1.28,20.82,55.05,10.64
1736823600,Nairobi,3,514.03,0.0,3.04,43.63,1.45,21.07,55.76,10.26
1736827200,Nairobi,3,560.76,0.0,4.8,43.27,2.03,25.01,61.58,11.27
1736830800,Nairobi,3,600.81,0.4,6.0,45.78,2.8,27.52,66.27,11.91
1736834400,Nairobi,3,587.46,0.67,4.5,61.51,3.67,28.2,68.64,11.53
1736838000,Nairobi,3,413.89,0.47,2.51,66.52,3.67,23.17,55.89,6.21
1736841600,Nairobi,3,380.52,0.4,1.97,68.66,3.31,21.43,51.28,5.26
1736845200,Nairobi,2,363.83,0.35,1.69,70.81,2.98,20.06,47.24,4.69
1736848800,Nairobi,2,340.46,0.33,1.56,73.67,2.65,16.76,38.46,4.02
1736852400,Nairobi,2,333.79,0.34,1.59,73.67,2.47,15.04,34.03,3.83
1736856000,Nairobi,2,323.77,0.35,1.61,72.24,2.29,13.88,30.83,3.67
1736859600,Nairobi,2,330.45,0.36,2.16,69.38,2.59,12.88,28.68,3.93
1736863200,Nairobi,2,343.8,0.3,3.17,62.94,2.77,12.28,28.26,4.37
1736866800,Nairobi,2,353.81,0.13,4.03,57.22,2.8,11.93,28.22,4.69
1736870400,Nairobi,2,380.52,0.01,4.54,52.93,2.92,13.78,33.05,5.64
1736874000,Nairobi,2,433.92,0.0,5.1,50.07,3.25,16.96,40.48,7.28
1736877600,Nairobi,2,480.65,0.0,5.44,48.64,3.55,19.59,46.34,8.74
1736881200,Nairobi,3,527.38,0.0,5.65,47.21,3.49,22.34,52.15,10.01
1736884800,Nairobi,3,527.38,0.0,5.65,46.49,3.16,22.47,53.44,10.01
1736888400,Nairobi,2,487.33,0.0,4.8,46.49,2.68,19.75,49.54,8.87
1736892000,Nairobi,2,480.65,0.0,3.98,47.92,2.62,18.6,47.58,8.99
1736895600,Nairobi,2,500.68,0.0,3.34,47.21,2.21,18.94,48.91,9.63
1736899200,Nairobi,3,514.03,0.0,3.04,46.49,1.73,19.48,50.34,10.01
1736902800,Nairobi,3,527.38,0.0,2.91,46.49,1.55,19.56,50.34,10.39
1736906400,Nairobi,3,540.73,0.0,2.87,47.21,1.59,19.25,50.24,10.77
1736910000,Nairobi,3,567.44,0.0,3.26,47.92,1.76,19.53,51.13,10.89
1736913600,Nairobi,3,640.87,0.0,5.44,44.7,2.26,23.38,56.72,11.91
1736917200,Nairobi,3,667.57,0.2,7.63,41.48,2.83,23.93,56.64,12.41
1736920800,Nairobi,2,614.17,0.4,6.6,43.99,3.4,19.89,47.68,11.27
1736924400,Nairobi,2,400.54,0.23,3.73,45.78,3.1,9.8,23.0,5.7
1736928000,Nairobi,1,360.49,0.26,2.78,47.21,2.8,6.68,15.82,4.81
1736931600,Nairobi,1,340.46,0.28,2.44,47.92,2.65,4.65,11.9,4.37
1736935200,Nairobi,1,327.11,0.26,2.53,48.64,2.68,3.67,10.51,4.12
1736938800,Nairobi,1,323.77,0.25,2.59,49.35,2.65,3.5,10.69,4.05
1736942400,Nairobi,1,317.1,0.25,2.55,50.07,2.56,3.46,10.71,3.93
1736946000,Nairobi,1,323.77,0.29,2.78,50.78,2.8,3.68,11.22,4.12
1736949600,Nairobi,1,333.79,0.34,3.3,50.07,2.86,4.01,12.12,4.31
1736953200,Nairobi,1,340.46,0.29,3.77,47.21,2.8,4.5,12.97,4.5
1736956800,Nairobi,1,363.83,0.06,4.37,42.56,2.95,5.82,15.89,5.32
1736960400,Nairobi,2,403.88,0.0,4.76,40.05,3.25,7.78,20.45,6.59
1736964000,Nairobi,2,433.92,0.0,4.88,40.41,3.49,9.25,24.0,7.35
1736967600,Nairobi,2,494.0,0.0,5.1,40.05,3.07,11.82,29.81,8.87
1736971200,Nairobi,2,527.38,0.0,5.18,39.7,2.47,12.86,33.04,9.37
1736974800,Nairobi,2,494.0,0.0,4.28,41.48,2.03,10.86,31.38,8.11
1736978400,Nairobi,2,467.3,0.0,3.3,44.35,1.97,9.72,29.88,7.54
1736982000,Nairobi,2,453.95,0.0,2.63,45.78,1.85,9.07,28.9,7.41
1736985600,Nairobi,2,453.95,0.0,2.42,45.78,1.65,8.94,28.52,7.54
1736989200,Nairobi,2,447.27,0.0,2.36,45.42,1.7,8.85,28.54,7.73
1736992800,Nairobi,2,460.62,0.0,2.46,45.78,1.8,8.85,29.28,8.04
1736996400,Nairobi,2,480.65,0.0,2.87,46.49,2.0,9.37,30.94,8.49
1737000000,Nairobi,2,560.76,0.01,4.76,44.35,2.53,12.82,36.69,10.13
1737003600,Nairobi,2,607.49,0.51,5.91,47.21,3.22,14.89,39.99,11.4
1737007200,Nairobi,2,580.79,0.73,4.37,65.09,3.87,14.72,37.96,10.64
1737010800,Nairobi,2,417.23,0.51,2.46,67.23,3.52,9.39,24.49,6.21
1737014400,Nairobi,2,380.52,0.42,1.95,66.52,3.19,7.98,21.83,5.32
1737018000,Nairobi,2,360.49,0.38,1.69,65.09,2.95,7.37,21.03,4.81
1737021600,Nairobi,2,337.12,0.35,1.86,60.8,2.71,6.17,17.66,4.18
1737025200,Nairobi,1,327.11,0.32,2.21,55.07,2.59,5.3,15.73,4.12
1737028800,Nairobi,1,317.1,0.25,2.44,49.35,2.44,4.6,14.18,3.99
1737032400,Nairobi,1,330.45,0.32,2.83,47.92,2.8,4.61,14.13,4.37
1737036000,Nairobi,1,353.81,0.5,3.21,50.78,3.16,5.02,15.09,4.88
1737039600,Nairobi,1,373.84,0.54,3.9,47.92,3.34,5.33,15.44,5.32
1737043200,Nairobi,1,423.91,0.13,5.27,39.7,3.61,6.75,18.9,6.84
1737046800,Nairobi,2,480.65,0.0,5.57,35.76,3.55,8.64,23.07,8.49
1737050400,Nairobi,2,514.03,0.0,5.48,35.05,3.4,10.04,25.76,9.5
1737054000,Nairobi,2,554.08,0.0,5.57,35.05,2.89,12.28,30.2,10.89
1737057600,Nairobi,2,560.76,0.0,5.65,35.05,2.44,12.44,30.87,10.89
1737061200,Nairobi,2,514.03,0.0,4.67,36.12,1.97,9.75,26.8,9.5
1737064800,Nairobi,2,480.65,0.0,3.47,37.91,1.76,8.19,24.15,8.87
1737068400,Nairobi,2,467.3,0.0,2.68,39.7,1.52,7.45,23.0,8.49
1737072000,Nairobi,2,460.62,0.0,2.33,39.7,1.33,7.45,23.47,8.49
1737075600,Nairobi,2,460.62,0.0,2.21,39.34,1.27,7.71,24.86,8.74
1737079200,Nairobi,2,473.98,0.0,2.29,38.98,1.28,8.18,27.05,8.99
1737082800,Nairobi,2,494.0,0.0,2.87,38.27,1.4,9.43,30.41,9.25
1737086400,Nairobi,2,580.79,0.02,5.18,36.12,2.0,13.83,38.14,11.27
1737090000,Nairobi,2,654.22,0.66,6.51,40.77,2.89,16.67,44.16,13.05
1737093600,Nairobi,2,640.87,0.82,5.1,61.51,4.23,16.82,44.26,12.54
1737097200,Nairobi,2,460.62,0.57,2.96,65.09,4.59,11.12,29.18,7.28
1737100800,Nairobi,2,433.92,0.47,2.33,66.52,4.29,9.78,25.68,6.59
1737104400,Nairobi,2,413.89,0.43,2.03,65.09,4.11,8.52,22.77,6.14
1737108000,Nairobi,1,387.19,0.34,2.74,50.07,3.76,6.13,17.05,5.26
1737111600,Nairobi,1,373.84,0.39,2.61,45.06,3.28,4.7,13.22,4.75
1737115200,Nairobi,1,357.15,0.39,2.27,45.42,2.83,4.33,11.98,4.37
1737118800,Nairobi,1,363.83,0.46,2.55,47.21,3.07,4.53,12.19,4.56
1737122400,Nairobi,1,383.85,0.57,3.3,47.92,3.43,5.11,13.91,5.13
1737126000,Nairobi,1,397.21,0.54,4.24,43.63,3.58,5.41,14.86,5.45
1737129600,Nairobi,2,494.0,0.12,6.08,35.05,3.52,8.19,22.68,8.61
1737133200,Nairobi,2,574.11,0.0,6.77,30.4,3.61,11.21,29.72,11.02
1737136800,Nairobi,2,620.84,0.0,6.94,30.04,3.81,13.5,33.97,12.16
1737140400,Nairobi,2,727.65,0.0,8.05,28.25,3.34,19.78,44.87,14.44
1737144000,Nairobi,3,794.41,0.01,9.0,26.82,2.56,23.49,52.05,14.57
1737147600,Nairobi,2,734.33,0.0,7.71,27.89,1.8,19.07,47.2,10.77
1737151200,Nairobi,2,627.52,0.0,5.1,30.76,1.45,13.86,38.97,7.66
1737154800,Nairobi,2,540.73,0.0,3.34,33.62,1.31,10.78,31.55,6.59
1737158400,Nairobi,2,500.68,0.0,2.53,35.76,1.15,9.31,27.49,6.27
1737162000,Nairobi,2,480.65,0.0,2.33,36.48,1.01,9.0,26.42,5.95
1737165600,Nairobi,2,487.33,0.0,2.68,35.76,1.0,9.93,28.65,5.89
1737169200,Nairobi,2,527.38,0.0,3.73,33.97,1.19,12.04,33.43,6.27
1737172800,Nairobi,2,674.25,0.02,7.54,30.04,2.21,19.81,45.51,9.5
1737176400,Nairobi,3,794.41,1.05,9.34,35.41,3.22,25.51,54.97,13.93
1737180000,Nairobi,3,754.36,0.92,6.0,67.95,4.35,23.11,52.3,13.55
1737183600,Nairobi,2,447.27,0.25,3.47,55.07,4.23,8.81,24.55,6.52
1737187200,Nairobi,1,407.22,0.25,3.04,50.07,3.64,6.79,18.79,5.57
